X,J0,J1 
-150,-0.000774090375394291246946348273936984806461475462883351382869014599898843832268022620036289252977840040277529618231208838533747675704076815530498973654243620290424395302911113841407647065612177359351729826135552906088256963010582150210925305355466921828209744009616930171575657547648025313683501248758528919637050017506272250544416318754401211366161627642207687486143170125223743844183894103434409915804999241212352734265414258331906320626593513125765700786150751680946704853937477193076656187109008570929333729053249638300691339230291491652688781970594327219704974926120249233299918919728516641192001971473791607130583142438662172012263492481174383393903835685918496483906475020608508002410597773825942025500413604213928713531167645983316276386106461435,0.0651451636577273603045829737970698837486731810302418900370420937478419112204742135579625843393595446936957546140277042492698641618103248143003981430382194111400345031493679850015268532111311612632364952774963121099568448576413331022054523580675076957152341822915439638200664725275375258069050135231607920209171890740866743620972645730025917317742355462644430410119928649152557048290214772032960186309180165766613232286554980726076298862135155744076698136782111000757368163142196460530611057202159133202325210398675895371747512311781930690449810778258542648284501351498230665988907516084354030333663699969470971637261958391847962299739912666422155552864450850611225753581632525371402464268762958061079068537 
-149.9,-0.00727605540611221395806294883636720269355491403566164107107803211398303799021550828311126618364241026536371415795151934791271707701582657139687883401605299922050697891959028183128467703084216943553581180931828900900695222338253234700895522953718755325886234004499751735357841595361682501623574711363256145001562749580595903728425994132394708501343154829824493059951210046157419452398293149243156302022933628498297277082375967871363460106449068638006224369508904015557347227315333988319710509698625395040171253464192157639840387488647923828097730825522714465005077621417488368943781920435778010049811685020686360921748111162279106756176023759602368217274807257445787971227749080272226977314900830294620453805091862727439671131407278076345219132096016194,0.064785717661868304189094685477493889797896696306560562093733696655605486800408229183670498853142365681504068409538418808437828213036150736604285598866765331424723915059564147442188561748338812319964502975619748520070887656823086879176430067269311103811397541351614250236668776722763441797590851886978270781078225060190894352449419901866624333397533271395925826983446573342005427181039832117167157864125385427169033380026373483203113971484208721210881543220061673645996762793535297927953376030008131206910896349955284524692617438206961137913777879746045906079226735539912841857595791124525200796419751886024124605093323698067040557411504973038039292696918327901499625732243763740181828611773609121539457865 
-149.8,-0.0137096352187448962278994078696665312025426779859100952641168059291162778134498698208169438238373405149694283400109821877436622644953828910784319447158902096780411868196383300163471926870693172519523280921369308361397500673797608427954272260588070559651445356057191864832726715392988342460868741899269952456002500067800598639712951077068954614711868771114960931340157119587943023190105680970269964186217552639466989881536359809443988135098278269244722499478485683548070534001404061604856824324422635236720466182353223068914679785609297171811827417790290334800286701764505138881068128848695669153529198253566696975802214901084466938170314466456522285489583557151680485127767684793443539926529131099624634207568538877325328009132452419050208729756955264,0.06377852710097938024983479457144410204685047344437033097838629691171233763011152812035806381739861827184547543217311109750092490569972195530035532902755492974398952384512762154816231126371662235254828531448402302570629714093676143716165294842107592084855539266663945821959466096294685572914394795762218173456943572772958718629975177971649568774471314442794216894735413902102431903590474942133905707332776829656444146374817323133763679124648248976836275568745173586741956497784818084389608646503500620592608145133630730950984359170331475192694805449323876964724765864118602875032408198885591584761530270850785965534777349575744622855603925697243137926087921654413643043957296176287723474952447281905647787 
-149.7,-0.0200104833599243271393194775640653618201105293226135534552882273446307773276598824280791529235860711017706793558586823919496237333858299078746322858994499778481198887504422140606999451824469088744085117258089652251716007543030320693187202197204739288265217985186303102932455620631092659461551521887073436344574955635781523181133948618739988026204522954185357153202768544092630546502557121186230618767837344962836052925629815561664188719910691253122550696969118954985898450264278422878246454045210015204530100914158550771044229887009939516125124357685383225998292001288746103439380085052060290573298781022275019528950809612349317626375656105261721948365585242627531229581463664483659082024689806202908884397546587475790169293730866047809752320521507755,0.06213322558574569021302190166235014043032090904085411170564554840973982032770081232348608065109823148701239986936691412433703736964973201932206424757896942977893269640011582914308062991639926652498808257533852509200750805831641804855024423747968584969991194132051773124227937056393204613591774646373844077185741786154882906293817436617035424992745268308492774051821913123949979450097857044565459130221855584443229119794536804235023495597546981074327290140634025196873439369589217136845816512079358728473058217769799150854686082924019376616690262732947973519642128229696042520420599452979873183906712708491420601768182911225312844891152284694693834734527465340649750084915132908182141114414833693254216349 
-149.6,-0.0261155369465836854884519621502505818755981095494401362759948593107155485301223019264354888492873244681172437139659430343723836333356637462526141628006874935506709056334973241414830649914965319045856292326835694052023198386063202309193007111577605307486833755665869837098459599314016892352448707384472495111740942701974453824963298920898233527117152111140765331134596540723164191895967971581109840843904230138274771622407950890127645276054792124946711769279984173919278965602683603345289993679542907611730995545893337515006417628044379025826254440804661727937095158514450545729770897770310286393878175710351495277770856077552105995978411863081521389316911151660415153657802265506093842778626345966039312075598310374427350443687960777104700715423969792,0.05986583022899537876100023355876310794048086934910245430171136462775697398232510156480284653654846896710006356677806815059285116699164968631918050186825272875798237660512381969828512389819259960992942605900659002397603501406016744524552529923285241060341011154126673762480546398235153736101684093404453696852295525311173274863810403783868512647991415258870112852194862797853930426371332807627578194349387822866877616146580081645395426491206828092104093660381751242678733742410223409541560904704822851536541721800992757563016509947328586555475345010036679549153166986177796655795146172770485200023593370635997442268192638542003924347521980510682631969865742783676333303734312641735772786767850714929308363 
-149.5,-0.0319636477528796606875208099703985270047509694539181674083092260160626837724570093795254594681706750075468592916205705635960108043570647751652055381971304981842406149007125751863938607719531555633908301668508985409768242652556342498348667272319275043131089799478447864010874360651108016198414098728106205392955856975437257051845771867662798693601505607177046493641852895299977196959138346518942339895967540967916946707261824849180580893762739459931269045779133787779968551419865511349148110804925548993530935035710445993684969106123644002392216552105442476804326303087544595399520610149384353876746450232586758675723794928675573032090179568336933098139292805519748204359406656516418774930128006344617163336563757385198175670190215041534521187024586305,0.05699858584500412303579831943248649393815401530711068702577295306367502314416188642069497240760413420325378850126316157545062844540019253259959504539150042118975438814768556074165159360488236517307926911094433897566294947400848078319864860098338824892299433732193996864552431376247676098561042481825223486174957938277407116275519452382610512237984710576028917432865417711610686597493502420735089163274588608563313018609114226736129271279925575342979434326572827855657845300871508168377539175403088270603489698470170917293477198517639403466301419447504315728759936037374762616529927696015497981465391631721894714917825477058768157136512433373347797910943167433574483358166719393320758624474272295825585316 
-149.4,-0.0374961945849968453603267739534349994766019229258902425277804042329197062227252999698481234534136885515567318963338398283621274616846124598562807414593620893685350645187813762613108794225634381869691957462796439062646374636710475832871079693602923419433280881684096928446212444832092765386778318344803778831933231189954195642420156947240733520747913148077097815975145424595412625395970481046982963207794694019974975963539176154645469740965424191928253962235701574597469892978584866664946850389713564579409065562366456821709580329380289889550356641524684152241461869389825130742400517057467425653701201169156047927162559975950941912555492134723051841133745981413206522501113478305733847285304478050506828630681613322159676192786101672557175555520400135,0.05355974681273614069682943883225812418332606257361954306635695171915930284022295969256835923224541563783584502154214167026985153784890086690493452877331630635848842063710188622554278492086306464763970578655701764910348444895538935553498502747122289308219009369649035612849269064706350393026606932029981657499262720907709245215421334839263275432592540121744505045527833256344839651018701010766682026692533275101581695261985669811692465857970576614546733900299524440664829678049967703969517064083217091695866910207477890745473613837513631985379376324799201022742931997433980199031191274175514173047027368755988289848106521133027707243664039011353101369188758175551530644146418194572207918934491207819374917 
-149.3,-0.0426576708120109688291633469134981052204155317678035264132432399586852145861594796806443274288089888306008821298951577372325196208933973037452883469418983703636546648739213062257907557016986540944788180553251192140278836151978551752909460006190158204707879743323195843601498741896584374799766765548423770515038931458041650159639394558853081418737353041772181398277985627074221611526009003910986612627254019311648834382074934484840840180891644747045329802957235398925414315497675507011611547588192577450112088740885313340986309757476675292460885262429767904459805857337560399705354816504730811489686280020693366756874037538779914964183870720844077481681225145722015804176190484127694450462070005676541206015211034915274313454139265307137555327811302795,0.04958329874110401247297172819918668092023611230972303987937174560630389571907103340492381330902381138725045778475995726513151345760762974108273802761417677742838539189934526957900382967732252492641561187488720837850683555935997648103606220568375089289031657763316641992844678977611010488230438735057211494658001426288528057421032630139681348543942825943725826413570520425560850528447010548359785680724190756951890562053865535915983119223840571670570766464725763459150632775553416641682172870407302175263307429261722070088813955324621856614792449015511251772384359976413093035043496413482926795347286409773897260635700672411207466779325955309064538204014499315645225839081991905370083714050114809942847329 
-149.2,-0.0473962411651419608636459504184268048764633947284562712766872924306216986316148242230854101957946117802455877944351944247991148432464317299244560316335280483967906677051029664906978433426257728790068816220363158387469076752581235091505588696346094951407735580624591242187318704585653716292541318509294444831065595503273513785042034855455497916783481169529983333513274490881573703174768179826453937902508303916563870629782659568705281193368068145200486456879741588940869897430462570409292570040464646596067190041493853982474025638234237065396680329162911873943243998024650213125440182412396275981377245148491844355941907026470109946508903577053351981261726530828752151000413757849515160559658698579438968649674711851020417466585295686582035766789810481,0.04510862267724798779511147043419889482965545836693009125804966889925140019118884043602595314807209231414593300815121086632794732013511441075515637627467718577731728340555208565454469045534481116989680017768235014893971401010167960987995348686245526233242575034567379012210023684730558680212033134553429266936800750657939422275671346149601936438671219181446288655813215807769395501546584670155548789498835350219730337495837905027536919538848367211826071845049322527268024699308708667216671192440553269871259476628235682391759281301375774564816064893743719282332541159308138247503352704871843455572417374421125783519313259082150386497793853083202620835426952321233252069823817601635278200822691575681212237 
-149.1,-0.0516642622208739779094571388138313670260247614424776702605863328720831900506351320957435074805553954034943174057582285434251342863945779375993146064080361618285344398829707002072931222186208043413207290152916346042208183463595710402970334158385578501697069736927313768844734763630056217943187785285345527712336997012263999289795908864922847053783201896216457412422159048696242287958679445808955782769937313450643539123972626033179607605244217335213945632701335871311354032759906234908119736906886857369258001199836333899018143784194463669367015355254463714710042049736334913900338837137467266901104790701434332713620197929478832708453456519890983892067347741099599118537992679809334010414743676677898042885799384972279161822472312314028774627049333853,0.04018010517476955635587703921864892847192779300699506739907112983390895122043745839722719081617389306913012043626027774360290053889334833459665521120670041052507040840713752133254043100743941316346174067265610349378696933647599630617019400765337285972424897137628720667163593718929025919330226065835318583292117535106362072868089775768166113571271294803175854588211026992965531336355952162291068017618601099312040780862434178108072534729559502113968163013762963726929577932944093045806671925015667023880153529970152794892362440950163586580839887510666914546906037439508864843280741335716859464216989246080337216016597242897112814860662043480685538983385990530821101857360021395508704270187927345997856867 
