 0.977960    , 0.817125    ,  1.12751    ,  1.12751    , 0.513756E-04, 0.131450E-08
 0.994649    , 0.835656    ,  1.09263    ,  1.09263    , 0.545228E-04, 0.158504E-08
  1.01134    , 0.853572    ,  1.05376    ,  1.05376    , 0.580047E-04, 0.189181E-08
  1.02803    , 0.870806    ,  1.01081    ,  1.01081    , 0.618930E-04, 0.224235E-08
  1.04472    , 0.887288    , 0.963680    , 0.963680    , 0.662822E-04, 0.264671E-08
  1.06140    , 0.902948    , 0.912278    , 0.912278    , 0.712999E-04, 0.311829E-08
  1.07809    , 0.917714    , 0.856530    , 0.856530    , 0.771220E-04, 0.367562E-08
  1.09478    , 0.931512    , 0.796366    , 0.796366    , 0.839989E-04, 0.434506E-08
  1.11147    , 0.944270    , 0.731732    , 0.731732    , 0.922984E-04, 0.516517E-08
  1.12816    , 0.955911    , 0.662584    , 0.662584    , 0.256476E-04, 0.387194E-09
  1.14485    , 0.966360    , 0.588894    , 0.588894    , 0.289440E-04, 0.470667E-09
  1.16154    , 0.975542    , 0.510647    , 0.510647    , 0.333584E-04, 0.583491E-09
  1.17823    , 0.983379    , 0.427847    , 0.427847    , 0.396343E-04, 0.745242E-09
  1.19492    , 0.989797    , 0.340514    , 0.340514    , 0.493649E-04, 0.997623E-09
  1.21161    , 0.994720    , 0.248689    , 0.248689    , 0.666929E-04, 0.144891E-08
  1.22829    , 0.998073    , 0.152430    , 0.152430    , 0.267044E-04, 0.156035E-09
  1.24498    , 0.999783    , 0.518198E-01, 0.518198E-01, 0.766765E-04, 0.482775E-09
  1.26167    , 0.999779    ,-0.530381E-01,-0.530381E-01, 0.726624E-04, 0.494913E-09
  1.27836    , 0.997990    ,-0.162016    ,-0.162016    , 0.916186E-04, 0.270350E-08
  1.29505    , 0.994349    ,-0.274960    ,-0.274960    , 0.515515E-04, 0.165591E-08
  1.31174    , 0.988792    ,-0.391693    ,-0.391693    , 0.342211E-04, 0.120348E-08
  1.32843    , 0.981255    ,-0.512007    ,-0.512007    , 0.978648E-04, 0.151875E-07
  1.34512    , 0.971683    ,-0.635669    ,-0.635669    , 0.726358E-04, 0.125591E-07
  1.36181    , 0.960021    ,-0.762416    ,-0.762416    , 0.548162E-04, 0.107033E-07
  1.37849    , 0.946220    ,-0.891954    ,-0.891954    , 0.414356E-04, 0.930871E-08
  1.39518    , 0.930236    , -1.02396    , -1.02396    , 0.309214E-04, 0.821052E-08
  1.41187    , 0.912030    , -1.15808    , -1.15808    , 0.223627E-04, 0.731316E-08
  1.42856    , 0.891572    , -1.29393    , -1.29393    , 0.151954E-04, 0.655735E-08
  1.44525    , 0.868834    , -1.43110    , -1.43110    , 0.905148E-05, 0.590436E-08
  1.46194    , 0.843800    , -1.56912    , -1.56912    , 0.368027E-05, 0.532772E-08
  1.47863    , 0.816458    , -1.70754    , -1.70754    , 0.109475E-05, 0.480874E-08
  1.49532    , 0.786806    , -1.84582    , -1.84582    , 0.540166E-05, 0.433375E-08
  1.51201    , 0.754852    , -1.98344    , -1.98344    , 0.933578E-05, 0.389253E-08
  1.52870    , 0.720610    , -2.11981    , -2.11981    , 0.129696E-04, 0.347726E-08
  1.54538    , 0.684107    , -2.25435    , -2.25435    , 0.163592E-04, 0.308170E-08
  1.56207    , 0.645379    , -2.38642    , -2.38642    , 0.195491E-04, 0.270093E-08
  1.57876    , 0.604471    , -2.51537    , -2.51537    , 0.225747E-04, 0.233091E-08
  1.59545    , 0.561442    , -2.64052    , -2.64052    , 0.254652E-04, 0.196817E-08
  1.61214    , 0.516361    , -2.76118    , -2.76118    , 0.282445E-04, 0.160987E-08
  1.62883    , 0.469308    , -2.87662    , -2.87662    , 0.309328E-04, 0.125341E-08
  1.64552    , 0.420378    , -2.98612    , -2.98612    , 0.335474E-04, 0.896549E-09
  1.66221    , 0.369675    , -3.08892    , -3.08892    , 0.361031E-04, 0.537153E-09
  1.67890    , 0.317318    , -3.18426    , -3.18426    , 0.386132E-04, 0.173264E-09
  1.69559    , 0.263437    , -3.27138    , -3.27138    , 0.410895E-04, 0.197024E-09
  1.71227    , 0.208176    , -3.34952    , -3.34952    , 0.435430E-04, 0.575578E-09
  1.72896    , 0.151691    , -3.41791    , -3.41791    , 0.459840E-04, 0.964348E-09
  1.74565    , 0.941515E-01, -3.47580    , -3.47580    , 0.484224E-04, 0.136530E-08
  1.76234    , 0.357388E-01, -3.52243    , -3.52243    , 0.508678E-04, 0.178056E-08
  1.77903    ,-0.233533E-01, -3.55709    , -3.55709    , 0.533304E-04, 0.221242E-08
  1.79572    ,-0.829190E-01, -3.57907    , -3.57907    , 0.558203E-04, 0.266340E-08
  1.81241    ,-0.142741    , -3.58770    , -3.58770    , 0.583486E-04, 0.313641E-08
  1.82910    ,-0.202591    , -3.58234    , -3.58234    , 0.609274E-04, 0.363471E-08
  1.84579    ,-0.262231    , -3.56239    , -3.56239    , 0.635704E-04, 0.416216E-08
  1.86247    ,-0.321412    , -3.52730    , -3.52730    , 0.662932E-04, 0.472328E-08
  1.87916    ,-0.379878    , -3.47659    , -3.47659    , 0.691142E-04, 0.532355E-08
  1.89585    ,-0.437364    , -3.40982    , -3.40982    , 0.720555E-04, 0.596963E-08
  1.91254    ,-0.493599    , -3.32663    , -3.32663    , 0.751442E-04, 0.666984E-08
  1.92923    ,-0.548307    , -3.22674    , -3.22674    , 0.784142E-04, 0.743462E-08
